image_id,selected_from_own_gt_macro_iou,selected_from_own_gt_boundary_f1,feature_set,method_dir,algorithm,prediction_name,method_key,peer_gt_source_path,prediction_path,prediction_rel_path,matching,gt_shape,n_gt_labels,n_pred_labels,class_id,class_name,support_pixels,tp,fp,fn,precision,recall,iou,boundary_f1,included_in_macro_average
Img01,0.89015607942831,0.7011488609137884,xy_hsv,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img01-meanshift-0.8,xy_hsv | Half Resize PCA 95 Mean Shift | Post Processed Img01-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img01/mask.png,/mnt/data/work_input/outputs/Img01/xy_hsv/Half Resize PCA 95 Mean Shift/Post Processed Img01-meanshift-0.8.png,Img01/xy_hsv/Half Resize PCA 95 Mean Shift/Post Processed Img01-meanshift-0.8.png,many_to_one,321x481,2,43,0,background_or_#000000,113092,111939,1743,1153,0.9846677574286167,0.9898047607257808,0.9747812078199155,0.8612549539877435,False
Img01,0.89015607942831,0.7011488609137884,xy_hsv,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img01-meanshift-0.8,xy_hsv | Half Resize PCA 95 Mean Shift | Post Processed Img01-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img01/mask.png,/mnt/data/work_input/outputs/Img01/xy_hsv/Half Resize PCA 95 Mean Shift/Post Processed Img01-meanshift-0.8.png,Img01/xy_hsv/Half Resize PCA 95 Mean Shift/Post Processed Img01-meanshift-0.8.png,many_to_one,321x481,2,43,1,starfish (#ff0000),41309,39566,1153,1743,0.9716839804513864,0.9578058050303808,0.9317978427770712,0.7811982603451562,True
Img02,0.639040366997007,0.446411000218917,xy_lab,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img02.jpg-meanshift-0.8,xy_lab | Half Resize PCA 95 Mean Shift | Post Processed Img02.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img02/mask.png,/mnt/data/work_input/outputs/Img02/xy_lab/Half Resize PCA 95 Mean Shift/Post Processed Img02.jpg-meanshift-0.8.png,Img02/xy_lab/Half Resize PCA 95 Mean Shift/Post Processed Img02.jpg-meanshift-0.8.png,many_to_one,321x481,3,48,0,background_or_#000000,68280,64885,1107,3395,0.9832252394229604,0.9502782659636789,0.9351175292201709,0.6364708079985629,False
Img02,0.639040366997007,0.446411000218917,xy_lab,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img02.jpg-meanshift-0.8,xy_lab | Half Resize PCA 95 Mean Shift | Post Processed Img02.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img02/mask.png,/mnt/data/work_input/outputs/Img02/xy_lab/Half Resize PCA 95 Mean Shift/Post Processed Img02.jpg-meanshift-0.8.png,Img02/xy_lab/Half Resize PCA 95 Mean Shift/Post Processed Img02.jpg-meanshift-0.8.png,many_to_one,321x481,3,48,1,skier (#ff0000),8343,5728,240,2615,0.9597855227882037,0.6865635862399616,0.6673657229406967,0.49278892301785376,True
Img02,0.639040366997007,0.446411000218917,xy_lab,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img02.jpg-meanshift-0.8,xy_lab | Half Resize PCA 95 Mean Shift | Post Processed Img02.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img02/mask.png,/mnt/data/work_input/outputs/Img02/xy_lab/Half Resize PCA 95 Mean Shift/Post Processed Img02.jpg-meanshift-0.8.png,Img02/xy_lab/Half Resize PCA 95 Mean Shift/Post Processed Img02.jpg-meanshift-0.8.png,many_to_one,321x481,3,48,2,2 (#ff7f00),77778,76698,5743,1080,0.9303380599459007,0.9861143253876418,0.9183079704505454,0.5709441403586369,True
Img03,0.9823250150012354,0.7869686855415522,hsv,Quarter Resize Mean Shift,Mean Shift,Post Processed Img03.jpg-meanshift-0.8,hsv | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img03/mask.png,/mnt/data/work_input/outputs/Img03/hsv/Quarter Resize Mean Shift/Post Processed Img03.jpg-meanshift-0.8.png,Img03/hsv/Quarter Resize Mean Shift/Post Processed Img03.jpg-meanshift-0.8.png,many_to_one,481x321,4,7,0,background_or_#000000,39033,38601,3491,432,0.9170626247267889,0.9889324417800323,0.9077462139027372,0.672932491234631,False
Img03,0.9823250150012354,0.7869686855415522,hsv,Quarter Resize Mean Shift,Mean Shift,Post Processed Img03.jpg-meanshift-0.8,hsv | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img03/mask.png,/mnt/data/work_input/outputs/Img03/hsv/Quarter Resize Mean Shift/Post Processed Img03.jpg-meanshift-0.8.png,Img03/hsv/Quarter Resize Mean Shift/Post Processed Img03.jpg-meanshift-0.8.png,many_to_one,481x321,4,7,1,1 (#ff0000),39229,30475,309,8754,0.989962318087318,0.7768487598460323,0.7707774798927614,0.30039094304368047,True
Img03,0.9823250150012354,0.7869686855415522,hsv,Quarter Resize Mean Shift,Mean Shift,Post Processed Img03.jpg-meanshift-0.8,hsv | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img03/mask.png,/mnt/data/work_input/outputs/Img03/hsv/Quarter Resize Mean Shift/Post Processed Img03.jpg-meanshift-0.8.png,Img03/hsv/Quarter Resize Mean Shift/Post Processed Img03.jpg-meanshift-0.8.png,many_to_one,481x321,4,7,2,2 (#ff7f00),61910,57939,10609,3971,0.8452325377837427,0.9358585042804071,0.7989492408885948,0.2836559225017845,True
Img03,0.9823250150012354,0.7869686855415522,hsv,Quarter Resize Mean Shift,Mean Shift,Post Processed Img03.jpg-meanshift-0.8,hsv | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img03/mask.png,/mnt/data/work_input/outputs/Img03/hsv/Quarter Resize Mean Shift/Post Processed Img03.jpg-meanshift-0.8.png,Img03/hsv/Quarter Resize Mean Shift/Post Processed Img03.jpg-meanshift-0.8.png,many_to_one,481x321,4,7,3,3 (#ffff00),14229,12168,809,2061,0.937658935038915,0.8551549652118912,0.8091501529458704,0.4481264768763362,True
Img04,0.7951575886402268,0.5073078185589347,xy_lab,Sampled Mean Shift,Mean Shift,Post Processed Img04.jpg-meanshift-0.8,xy_lab | Sampled Mean Shift | Post Processed Img04.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img04/mask.png,/mnt/data/work_input/outputs/Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,many_to_one,417x626,8,40,0,background_or_#000000,38445,28972,729,9473,0.9754553718730009,0.753596046299909,0.73957216521162,0.27434433164128597,False
Img04,0.7951575886402268,0.5073078185589347,xy_lab,Sampled Mean Shift,Mean Shift,Post Processed Img04.jpg-meanshift-0.8,xy_lab | Sampled Mean Shift | Post Processed Img04.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img04/mask.png,/mnt/data/work_input/outputs/Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,many_to_one,417x626,8,40,1,green beans (#0000ff),6063,5742,278,321,0.9538205980066445,0.9470559129143988,0.9055354045103297,0.7428342501882551,True
