image_id,feature_set,method_dir,algorithm,prediction_name,method_key,gt_source_type,gt_source_path,gt_mask_path,gt_json_path,prediction_path,prediction_rel_path,matching,gt_shape,n_gt_labels,n_pred_labels,boundary_tolerance_px,include_background_in_macro,visual_result_path,confusion_matrix_plot_path,qualitative_panel,gt_visual,prediction_visual,error_visual,pixel_accuracy,macro_precision,macro_recall,macro_iou,macro_boundary_f1,weighted_precision,weighted_recall,weighted_iou,weighted_boundary_f1
Img01,hsv,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img01-meanshift-0.8,hsv | Half Resize PCA 95 Mean Shift | Post Processed Img01-meanshift-0.8,mask,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\Img01.json,E:\Masters Msc\Assignment 2\outputs\Img01\hsv\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-0.8.png,Img01\hsv\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-0.8.png,hungarian,321x481,3,7,2,FALSE,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__hsv__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-0.8.png,E:\Masters Msc\Assignment 2\outputs\performance\confusion_matrices\Img01__hsv__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-0.8.png,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__hsv__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-0.8.png,panel column: GT raw / GT labels,panel column: Prediction raw / Matched prediction,panel column: Error pixels,0.795059617,0.73914221,0.610924476,0.455876978,0.293127108,0.890835075,0.545494365,0.483098609,0.311848373
Img01,hsv,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img01-meanshift-1.5,hsv | Half Resize PCA 95 Mean Shift | Post Processed Img01-meanshift-1.5,mask,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\Img01.json,E:\Masters Msc\Assignment 2\outputs\Img01\hsv\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-1.5.png,Img01\hsv\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-1.5.png,hungarian,321x481,3,2,2,FALSE,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__hsv__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-1.5.png,E:\Masters Msc\Assignment 2\outputs\performance\confusion_matrices\Img01__hsv__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-1.5.png,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__hsv__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-1.5.png,panel column: GT raw / GT labels,panel column: Prediction raw / Matched prediction,panel column: Error pixels,0.909845143,0.453030714,0.455025604,0.415794471,0.266018176,0.729218354,0.732429419,0.669281244,0.428194668
Img01,hsv,KMeans,KMeans,Postprocessed Img01-segment of 5,hsv | KMeans | Postprocessed Img01-segment of 5,mask,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\Img01.json,E:\Masters Msc\Assignment 2\outputs\Img01\hsv\KMeans\Postprocessed Img01-segment of 5.png,Img01\hsv\KMeans\Postprocessed Img01-segment of 5.png,hungarian,321x481,3,5,2,FALSE,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__hsv__KMeans__Postprocessed__Img01-segment__of__5.png,E:\Masters Msc\Assignment 2\outputs\performance\confusion_matrices\Img01__hsv__KMeans__Postprocessed__Img01-segment__of__5.png,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__hsv__KMeans__Postprocessed__Img01-segment__of__5.png,panel column: GT raw / GT labels,panel column: Prediction raw / Matched prediction,panel column: Error pixels,0.449466001,0.595846532,0.583574911,0.356524727,0.266727054,0.819803933,0.544817425,0.450012285,0.337585235
Img01,hsv_texture,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img01-meanshift-0.8,hsv_texture | Half Resize PCA 95 Mean Shift | Post Processed Img01-meanshift-0.8,mask,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\Img01.json,E:\Masters Msc\Assignment 2\outputs\Img01\hsv_texture\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-0.8.png,Img01\hsv_texture\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-0.8.png,hungarian,321x481,3,256,2,FALSE,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__hsv_texture__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-0.8.png,E:\Masters Msc\Assignment 2\outputs\performance\confusion_matrices\Img01__hsv_texture__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-0.8.png,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__hsv_texture__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-0.8.png,panel column: GT raw / GT labels,panel column: Prediction raw / Matched prediction,panel column: Error pixels,0.028011477,0.710677083,0.025776252,0.025426628,0.065708193,0.869597409,0.026938239,0.026787996,0.079202963
Img01,hsv_texture,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img01-meanshift-1.5,hsv_texture | Half Resize PCA 95 Mean Shift | Post Processed Img01-meanshift-1.5,mask,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\Img01.json,E:\Masters Msc\Assignment 2\outputs\Img01\hsv_texture\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-1.5.png,Img01\hsv_texture\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-1.5.png,hungarian,321x481,3,256,2,FALSE,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__hsv_texture__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-1.5.png,E:\Masters Msc\Assignment 2\outputs\performance\confusion_matrices\Img01__hsv_texture__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-1.5.png,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__hsv_texture__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-1.5.png,panel column: GT raw / GT labels,panel column: Prediction raw / Matched prediction,panel column: Error pixels,0.202667081,0.663427686,0.027528751,0.027146598,0.080011951,0.672742771,0.026898419,0.026549163,0.097243543
Img01,hsv_texture,KMeans,KMeans,Postprocessed Img01-segment of 5,hsv_texture | KMeans | Postprocessed Img01-segment of 5,mask,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\Img01.json,E:\Masters Msc\Assignment 2\outputs\Img01\hsv_texture\KMeans\Postprocessed Img01-segment of 5.png,Img01\hsv_texture\KMeans\Postprocessed Img01-segment of 5.png,hungarian,321x481,3,5,2,FALSE,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__hsv_texture__KMeans__Postprocessed__Img01-segment__of__5.png,E:\Masters Msc\Assignment 2\outputs\performance\confusion_matrices\Img01__hsv_texture__KMeans__Postprocessed__Img01-segment__of__5.png,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__hsv_texture__KMeans__Postprocessed__Img01-segment__of__5.png,panel column: GT raw / GT labels,panel column: Prediction raw / Matched prediction,panel column: Error pixels,0.364473028,0.513928045,0.310730874,0.185084405,0.142159699,0.777927349,0.308186995,0.255985715,0.164520885
Img01,lab,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img01-meanshift-0.8,lab | Half Resize PCA 95 Mean Shift | Post Processed Img01-meanshift-0.8,mask,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\Img01.json,E:\Masters Msc\Assignment 2\outputs\Img01\lab\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-0.8.png,Img01\lab\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-0.8.png,hungarian,321x481,3,4,2,FALSE,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__lab__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-0.8.png,E:\Masters Msc\Assignment 2\outputs\performance\confusion_matrices\Img01__lab__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-0.8.png,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__lab__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-0.8.png,panel column: GT raw / GT labels,panel column: Prediction raw / Matched prediction,panel column: Error pixels,0.634652625,0.523991603,0.60661017,0.312854588,0.228405959,0.741247625,0.541970294,0.407862258,0.282546013
Img01,lab,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img01-meanshift-1.5,lab | Half Resize PCA 95 Mean Shift | Post Processed Img01-meanshift-1.5,mask,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\Img01.json,E:\Masters Msc\Assignment 2\outputs\Img01\lab\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-1.5.png,Img01\lab\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-1.5.png,hungarian,321x481,3,2,2,FALSE,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__lab__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-1.5.png,E:\Masters Msc\Assignment 2\outputs\performance\confusion_matrices\Img01__lab__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-1.5.png,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__lab__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-1.5.png,panel column: GT raw / GT labels,panel column: Prediction raw / Matched prediction,panel column: Error pixels,0.922830811,0.444411624,0.4838582,0.431613558,0.348299074,0.715344686,0.778839645,0.69474435,0.560637656
Img01,lab,KMeans,KMeans,Postprocessed Img01-segment of 5,lab | KMeans | Postprocessed Img01-segment of 5,mask,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\Img01.json,E:\Masters Msc\Assignment 2\outputs\Img01\lab\KMeans\Postprocessed Img01-segment of 5.png,Img01\lab\KMeans\Postprocessed Img01-segment of 5.png,hungarian,321x481,3,5,2,FALSE,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__lab__KMeans__Postprocessed__Img01-segment__of__5.png,E:\Masters Msc\Assignment 2\outputs\performance\confusion_matrices\Img01__lab__KMeans__Postprocessed__Img01-segment__of__5.png,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__lab__KMeans__Postprocessed__Img01-segment__of__5.png,panel column: GT raw / GT labels,panel column: Prediction raw / Matched prediction,panel column: Error pixels,0.501570586,0.613640191,0.774769778,0.562630924,0.416430262,0.844704244,0.867001155,0.780349193,0.603899509
Img01,lab_texture,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img01-meanshift-0.8,lab_texture | Half Resize PCA 95 Mean Shift | Post Processed Img01-meanshift-0.8,mask,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\Img01.json,E:\Masters Msc\Assignment 2\outputs\Img01\lab_texture\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-0.8.png,Img01\lab_texture\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-0.8.png,hungarian,321x481,3,256,2,FALSE,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__lab_texture__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-0.8.png,E:\Masters Msc\Assignment 2\outputs\performance\confusion_matrices\Img01__lab_texture__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-0.8.png,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__lab_texture__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-0.8.png,panel column: GT raw / GT labels,panel column: Prediction raw / Matched prediction,panel column: Error pixels,0.035809354,0.683231707,0.028228409,0.027750769,0.019777391,0.874953721,0.03076096,0.030573046,0.0250305
Img01,lab_texture,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img01-meanshift-1.5,lab_texture | Half Resize PCA 95 Mean Shift | Post Processed Img01-meanshift-1.5,mask,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\mask.png,E:\Masters Msc\Assignment 2\outputs\GT Ehsanul Karim\Img01\Img01.json,E:\Masters Msc\Assignment 2\outputs\Img01\lab_texture\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-1.5.png,Img01\lab_texture\Half Resize PCA 95 Mean Shift\Post Processed Img01-meanshift-1.5.png,hungarian,321x481,3,256,2,FALSE,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__lab_texture__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-1.5.png,E:\Masters Msc\Assignment 2\outputs\performance\confusion_matrices\Img01__lab_texture__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-1.5.png,E:\Masters Msc\Assignment 2\outputs\output\visuals\Img01__lab_texture__Half__Resize__PCA__95__Mean__Shift__Post__Processed__Img01-meanshift-1.5.png,panel column: GT raw / GT labels,panel column: Prediction raw / Matched prediction,panel column: Error pixels,0.204344531,0.617552547,0.027572986,0.026774545,0.032620883,0.847416665,0.03020348,0.029888438,0.029724535
