feature_set,algorithm,n_images,n_predictions,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy
LAB_only,KMeans,1,1,0.800745846984027,0.8302117112382779,0.6561898773797264,0.3526582414226708,0.8477252998737373
hsv_texture_glcm,Mean Shift,3,6,0.8448170134346097,0.6605860738442609,0.6260711677418914,0.31991680064713024,0.6717545560155161
lab_texture_glcm,Mean Shift,3,6,0.8941802847996208,0.6278372146220601,0.6071663183449925,0.3091775168225004,0.6976962032808828
LAB_XY,KMeans,1,1,0.7069771893139668,0.6291577181076854,0.5689528232270862,0.47792075511878174,0.7399187184343434
LAB_Texture,KMeans,1,1,0.6897840646156348,0.6134876237626248,0.558915308266261,0.256144139769171,0.7741082702020202
xy_hsv,Mean Shift,9,18,0.8263797492982883,0.6064534549636527,0.5538998559867878,0.33775892108615496,0.5611154894935189
xy_lab,Mean Shift,9,18,0.8386581325700218,0.6107064802619878,0.5498600025055588,0.34818165882463664,0.5443965961704679
RGB_only,KMeans,1,1,0.751803528620687,0.7224119104964446,0.5400334917194024,0.3145098107704778,0.7582958491161617
hsv_texture_glcm,KMeans,3,3,0.6042570841361031,0.6319391659857804,0.5294151283043306,0.28946241175837345,0.5659635958799015
LAB_only,Mean Shift,1,6,0.7547441904897046,0.5909709316396518,0.5220958857284986,0.3882469263061965,0.6632026646675084
lab,Mean Shift,9,18,0.6284139150883233,0.6309372377309166,0.5172445916689704,0.332896994382772,0.7168620264305392
xy_lab_texture_glcm,KMeans,3,3,0.5826518538366834,0.6086622501290107,0.5129725941474946,0.2694481198452852,0.5607943725161153
RGB_HSV_LAB_XY_Texture,KMeans,1,1,0.6646094537379248,0.5950525287466037,0.5109968056946199,0.32374516344535564,0.7112136994949495
hsv,Mean Shift,9,18,0.6539399905623517,0.5871928838639773,0.5098921788553475,0.32402581324208374,0.7150307182944092
xy_hsv_texture_glcm,KMeans,3,3,0.5811871235801935,0.597607741285368,0.5022770206364862,0.2873284129691825,0.5577348207788555
RGB_XY,KMeans,1,1,0.6864944137948273,0.557643596163194,0.4969641521862378,0.32042175238238163,0.6727627840909091
lab_texture_glcm,KMeans,3,3,0.5665394548358839,0.615281923174927,0.49492974282420876,0.2735936442509552,0.5240416754866363
lab,KMeans,9,10,0.6572193849067872,0.5878090923674286,0.48464490472080585,0.2274547985685596,0.6027159186286382
hsv,KMeans,9,10,0.6685572970615354,0.5767917544293899,0.4773302048133061,0.24029881509225204,0.5795864984412178
xy_lab,KMeans,9,10,0.6417300179218355,0.5802506009219089,0.468629247633295,0.22800591034002524,0.5731471907571344
HSV_Texture,KMeans,1,1,0.6192550300646512,0.5902490319401756,0.46508731280650806,0.19443338385371406,0.6436237373737373
xy_lab_texture,KMeans,3,3,0.7254069220982592,0.5541276149602621,0.462784234621896,0.19322333507720676,0.6010948798199646
Texture_only,KMeans,1,1,0.6180800917790027,0.5618851381381298,0.4588226527083312,0.23848246755199304,0.6539318970959596
xy_rgb,Mean Shift,9,18,0.7282253695658106,0.5416950917807175,0.4568236955952959,0.2396964759265826,0.5243356191606905
xy_lab_texture_glcm,Mean Shift,3,6,0.7738488864927691,0.47586829695996186,0.4502081460339122,0.2394467255465402,0.41121301582659314
RGB_Texture,KMeans,1,1,0.6195949084274407,0.5550396421487203,0.44948223536333876,0.2514631626041254,0.6338778409090909
xy_hsv_texture_glcm,Mean Shift,3,6,0.7545524883463729,0.4733013289071913,0.4477730029363111,0.22647004870896517,0.39178990911702377
xy_rgb_texture_glcm,Mean Shift,3,6,0.7679187180779462,0.4764004577880178,0.4305345588712246,0.17809531185599112,0.4026510425428165
xy_rgb,KMeans,9,10,0.617274749641252,0.5500003695416206,0.4248280270198859,0.17241128691061358,0.5314623896854174
xy_texture_glcm,Mean Shift,3,6,0.7656410201595357,0.5037117319861827,0.4225128489947692,0.12516580283202802,0.4394036428793712
xy_hsv,KMeans,9,10,0.6139302660179572,0.5572109321311581,0.41668670226100313,0.19800291299859082,0.5598872080336869
xy_rgb_texture_glcm,KMeans,3,3,0.49664650801760674,0.6231599511977856,0.40738686063878965,0.14112022229035528,0.5329803646836524
xy_hsv_texture,KMeans,3,3,0.7186206460314913,0.4897677671520082,0.40668350867421643,0.16410216484725915,0.513000930816232
rgb_texture_glcm,Mean Shift,3,6,0.8120754051234248,0.47802130199125054,0.40628741284030556,0.1645147988989972,0.6029347047962669
texture_glcm,Mean Shift,3,6,0.625644947545282,0.5751426420504949,0.4029622575744187,0.10024291619689037,0.7616446904404831
LAB_XY,Mean Shift,1,4,0.6691165330127262,0.47835332850681533,0.3985185147481246,0.33671740151350704,0.4835488675820707
HSV_only,KMeans,1,1,0.55023963899682,0.5758344759963374,0.39369228011607665,0.2282828473490829,0.6247435290404041
xy_rgb_texture,KMeans,3,3,0.7008774737212748,0.4724625792700885,0.3887647051561511,0.16770798830940423,0.497147856999361
