method_key,feature_set,method_dir,algorithm,n_images,n_predictions,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy
hsv | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,hsv,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9778006744098914,0.97865625,0.957384366115374,0.8473353895256946,0.9887656702025073
hsv | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,hsv,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9767078806044711,0.9775625,0.9552922494350455,0.8269650342967481,0.988203150112504
xy_hsv | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,xy_hsv,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9845903522205207,0.96440625,0.950066188467814,0.7774175336127422,0.54899549983928
lab_texture_glcm | KMeans | Postprocessed Img07.png-segment of 4,lab_texture_glcm,KMeans,KMeans,1,1,0.9923993156093709,0.94253125,0.9357761161614595,0.6480289212016808,0.6614191578270653
lab | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,lab,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9832557538143264,0.9505625,0.9354203825573528,0.7819501264602732,0.9830842172934747
lab | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,lab,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9837843086483687,0.94984375,0.9352019937848066,0.7558664452110218,0.9830440372870459
xy_lab_texture_glcm | KMeans | Postprocessed Img07.png-segment of 4,xy_lab_texture_glcm,KMeans,KMeans,1,1,0.9927036349164234,0.935375,0.9289882060831781,0.6277966331602909,0.6558421729347477
hsv_texture_glcm | KMeans | Postprocessed Img07.png-segment of 4,hsv_texture_glcm,KMeans,KMeans,1,1,0.9893139841688654,0.937375,0.9279792104937508,0.6391812525440485,0.6502571520411443
xy_hsv_texture_glcm | KMeans | Postprocessed Img07.png-segment of 4,xy_hsv_texture_glcm,KMeans,KMeans,1,1,0.9854450090149156,0.93940625,0.9265503637036123,0.613307189825698,0.6698328511732562
lab | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-0.8,lab,Sampled Mean Shift,Mean Shift,1,1,0.9517398258397014,0.9574758874346505,0.9141042216954146,0.8552974975636494,0.9703923534257725
lab_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,lab_texture_glcm,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9823599365750528,0.9293125,0.9140591381324153,0.5655344102788249,0.9767277402764385
hsv | KMeans | Postprocessed Img07.png-segment of 4,hsv,KMeans,KMeans,1,1,0.9869475230337829,0.92390625,0.9127535426507363,0.6418214869104483,0.7026599164255867
hsv_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,hsv_texture_glcm,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9768670429190183,0.93034375,0.910288946644244,0.564194399034075,0.9760366441658631
xy_lab | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,xy_lab,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9850207302394008,0.920625,0.9079142011834319,0.617837443281179,0.535856637737062
xy_lab | KMeans | Postprocessed Img07.png-segment of 4,xy_lab,KMeans,KMeans,1,1,0.9854041539442338,0.91775,0.9054416525358409,0.6285653761377066,0.6139344262295082
xy_lab_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,xy_lab_texture_glcm,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9924123851650222,0.91146875,0.9051609099090712,0.5174205635122144,0.5354628736740598
xy_rgb_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,xy_rgb_texture_glcm,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9783794571580628,0.9191875,0.9008882082695253,0.4792375765827093,0.5355673416907747
xy_hsv_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,xy_hsv_texture_glcm,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9822425506154571,0.9126875,0.8978726020659125,0.458614746064315,0.542558662809386
lab | KMeans | Postprocessed Img07.png-segment of 4,lab,KMeans,KMeans,1,1,0.9858616214739431,0.902125,0.8906028259394089,0.5790082998544712,0.6979668916747027
rgb | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,rgb,Quarter Resize Mean Shift,Mean Shift,1,1,0.9836765495036223,0.8998318719281344,0.8865931700769931,0.3486357736625489,0.7520855690858618
hsv | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-0.8,hsv,Sampled Mean Shift,Mean Shift,1,1,0.9152255153298735,0.9454773029394876,0.8678041044807494,0.6483589190400292,0.7818086172841957
hsv | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,hsv,Quarter Resize Mean Shift,Mean Shift,1,1,0.8842154996081671,0.9588853231556534,0.8519167657031957,0.3650207602368577,0.9036336706548057
rgb_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,rgb_texture_glcm,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.8818394160583941,0.94384375,0.8378783255194607,0.4288773599276005,0.9508116361298617
xy_lab | Sampled Mean Shift | Post Processed Img09-meanshift-1.5,xy_lab,Sampled Mean Shift,Mean Shift,1,1,0.9672211488636346,0.8461005215388555,0.8209123093543077,0.5255706020116273,0.8420730744949495
hsv | KMeans | Postprocessed Img05.jpg-segment of 4,hsv,KMeans,KMeans,1,1,0.8671681306422605,0.9430299079474929,0.8180692242698762,0.5545532274822627,0.7053428750086848
hsv_texture_glcm | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-1.5,hsv_texture_glcm,Sampled Mean Shift,Mean Shift,1,1,0.9375514170748473,0.8469879583765064,0.8079428027469236,0.5694240328118175,0.9658464928387808
xy_hsv | Sampled Mean Shift | Post Processed Img09-meanshift-1.5,xy_hsv,Sampled Mean Shift,Mean Shift,1,1,0.9184284393210982,0.876997914303046,0.8067349998157126,0.46654504356854476,0.8730863320707071
lab | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,lab,Quarter Resize Mean Shift,Mean Shift,1,1,0.8705530427693202,0.8910787808873971,0.7868252020296428,0.34631291896354394,0.8603826130145187
xy_rgb | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,xy_rgb,Quarter Resize Mean Shift,Mean Shift,1,1,0.9317605047843572,0.8245546753716919,0.7775971066907775,0.1859310570765252,0.6813456199945012
lab_texture_glcm | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-1.5,lab_texture_glcm,Sampled Mean Shift,Mean Shift,1,1,0.9273609275354742,0.8162096220004991,0.7734790470724793,0.4882788882548218,0.9640301336959435
lab | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,lab,Quarter Resize Mean Shift,Mean Shift,1,1,0.9943189871025653,0.7748648532561008,0.7714495166241581,0.38079195771093577,0.7767186100345008
xy_lab | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,xy_lab,Quarter Resize Mean Shift,Mean Shift,1,1,0.8824352009394325,0.8576495204668315,0.7697013918526371,0.33181317358278545,0.6756764906741404
xy_hsv_texture_leung_malik | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,xy_hsv_texture_leung_malik,Quarter Resize Mean Shift,Mean Shift,1,1,0.841435156138898,0.8954030764848312,0.7661301993282098,0.26869053759652445,0.8011347076767638
xy_hsv | KMeans | Postprocessed Img09-segment of 5,xy_hsv,KMeans,KMeans,1,1,0.8723399035606643,0.8660039446601064,0.764508160906726,0.43413381722730027,0.8736091382575758
xy_rgb_texture | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,xy_rgb_texture,Quarter Resize Mean Shift,Mean Shift,1,1,0.9026716597547934,0.8260610783513631,0.7585027593647967,0.1021354817399796,0.6670592722015769
xy_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,xy_texture_glcm,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.8534783941158444,0.87028125,0.7571572279165873,0.18892639810287215,0.47943587270973964
xy_hsv | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,xy_hsv,Quarter Resize Mean Shift,Mean Shift,1,1,0.8809000196412414,0.839357922575182,0.7538127082007323,0.20995976331898275,0.6582522549689138
xy_lab_texture_leung_malik | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,xy_lab_texture_leung_malik,Quarter Resize Mean Shift,Mean Shift,1,1,0.8416805431023441,0.8774124056402222,0.7531174546899355,0.2560402526884019,0.7907332206397627
xy_lab | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-1.5,xy_lab,Sampled Mean Shift,Mean Shift,1,1,0.7932420334629673,0.9358654476663656,0.7529193703531919,0.4625597085394833,0.945529076634475
hsv_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,hsv_texture_glcm,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9869480361063674,0.75853125,0.7509978032857895,0.20447501140828625,0.4261571841851495
xy_hsv | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-1.5,xy_hsv,Sampled Mean Shift,Mean Shift,1,1,0.779305040541658,0.9397804322813762,0.7428530259290882,0.48681127279003744,0.9327351589562386
hsv_texture_leung_malik | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,hsv_texture_leung_malik,Quarter Resize Mean Shift,Mean Shift,1,1,0.7275600546628584,1.0,0.7275600546628584,0.33133621985759126,0.7275600546628584
xy | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-1.5,xy,Quarter Resize Mean Shift,Mean Shift,1,1,0.7275600546628584,1.0,0.7275600546628584,0.33133621985759126,0.7275600546628584
xy_rgb | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,xy_rgb,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.8721822219231545,0.81009375,0.7241263722450347,0.3988365592450516,0.48924783027965285
hsv | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,hsv,Quarter Resize Mean Shift,Mean Shift,1,1,0.9899826438143555,0.7279914831473084,0.722668063579854,0.2312225957114165,0.7544323331943841
xy_hsv_texture_glcm | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-1.5,xy_hsv_texture_glcm,Sampled Mean Shift,Mean Shift,1,1,0.9367458332202514,0.739309166421751,0.7169469017273513,0.3993030361299408,0.7100773193318181
lab | Quarter Resize Mean Shift | Post Processed Img06.jpg-meanshift-0.8,lab,Quarter Resize Mean Shift,Mean Shift,1,1,0.729912500067429,0.7205741813943347,0.7018501696960446,0.49611358722276955,0.9618316402866367
xy_lab | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-0.8,xy_lab,Sampled Mean Shift,Mean Shift,1,1,0.9760655490211538,0.7100953579736292,0.7001859909453094,0.570806806064588,0.23406219293108754
xy_lab_texture | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,xy_lab_texture,Quarter Resize Mean Shift,Mean Shift,1,1,0.8978731293098121,0.7578158077203919,0.6976784912311426,0.09033003872338496,0.6272352351642114
LAB_only | Sampled Mean Shift | Post Processed Img08-epanechnikov-1.5,LAB_only,Sampled Mean Shift,Mean Shift,1,1,0.699314035905233,0.7304308118173918,0.681325532627997,0.5898384419773083,0.9276357323232324
hsv | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-1.5,hsv,Quarter Resize Mean Shift,Mean Shift,1,1,0.993133080637624,0.6810550491382994,0.6778629335932308,0.3121255869160932,0.7645222505035589
xy_hsv | Sampled Mean Shift | Post Processed Img09-meanshift-0.8,xy_hsv,Sampled Mean Shift,Mean Shift,1,1,0.9837492866209447,0.6855713557133649,0.6777557989276166,0.35194996758039904,0.6988044507575758
lab_texture_leung_malik | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,lab_texture_leung_malik,Quarter Resize Mean Shift,Mean Shift,1,1,0.7911562875278778,0.821045791197835,0.674794963528749,0.24942327997317812,0.7121132635151327
xy_lab | Sampled Mean Shift | Post Processed Img09-meanshift-0.8,xy_lab,Sampled Mean Shift,Mean Shift,1,1,0.9862659832786296,0.6816531801754753,0.673790097599745,0.41196286960330636,0.6963581123737373
xy_hsv | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,xy_hsv,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9789516201418185,0.68165625,0.6718100341864548,0.5265733688927993,0.41370138219222113
xy_hsv | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-0.8,xy_hsv,Sampled Mean Shift,Mean Shift,1,1,0.94243292279132,0.6866010435906842,0.667489973730711,0.43841936465530695,0.2871237010054491
LAB_only | KMeans | Postprocessed Img08-segment of 5,LAB_only,KMeans,KMeans,1,1,0.800745846984027,0.8302117112382779,0.6561898773797264,0.3526582414226708,0.8477252998737373
LAB_only | Sampled Mean Shift | Post Processed Img08-epanechnikov-0.5,LAB_only,Sampled Mean Shift,Mean Shift,1,1,0.9127881019027879,0.7294168145681613,0.6541989279727293,0.444782053168535,0.7137586805555556
xy | Sampled Mean Shift | Post Processed Img09-meanshift-0.8,xy,Sampled Mean Shift,Mean Shift,1,1,0.8510967768565454,0.7384398736494852,0.6510318090036078,0.2501694314880525,0.7297190656565656
xy_lab_texture_glcm | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-1.5,xy_lab_texture_glcm,Sampled Mean Shift,Mean Shift,1,1,0.935767020833495,0.6730219759003061,0.6510274997177833,0.3920048661094281,0.8063840557413822
lab_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,lab_texture_glcm,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.9932879470706684,0.6474375,0.6446172993154947,0.20117568627002155,0.5716891674702668
xy_hsv | Sampled Mean Shift | Post Processed Img04.jpg-meanshift-0.8,xy_hsv,Sampled Mean Shift,Mean Shift,1,1,0.826480917071521,0.7048787585334791,0.6439858238288894,0.2982348381795549,0.7511664789574092
lab_texture | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,lab_texture,Quarter Resize Mean Shift,Mean Shift,1,1,0.9683421724256521,0.6565339845739426,0.6427382876091045,0.0583958927939553,0.7741075467179892
xy_lab | KMeans | Postprocessed Img04.jpg-segment of 10,xy_lab,KMeans,KMeans,1,1,0.7514799456439786,0.7616142985867411,0.6414062239935953,0.27814864291018315,0.7767140919851978
lab | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-1.5,lab,Quarter Resize Mean Shift,Mean Shift,1,1,0.7002551020408163,0.8747952570858852,0.6364660850642159,0.2594313504519436,0.6364660850642159
lab_texture_glcm | Quarter Resize Mean Shift | Post Processed Img06.jpg-meanshift-1.5,lab_texture_glcm,Quarter Resize Mean Shift,Mean Shift,1,1,0.7181723069816547,0.6719962705429798,0.6359815383578632,0.2974357772983378,0.9174895661075675
LAB_XY | Sampled Mean Shift | Post Processed Img08-gaussian-0.5,LAB_XY,Sampled Mean Shift,Mean Shift,1,1,0.8826488070124413,0.7415620282358166,0.6338314024551687,0.3836107141080599,0.6374487058080808
xy_hsv | KMeans | Postprocessed Img07.png-segment of 4,xy_hsv,KMeans,KMeans,1,1,0.6490122077210145,0.9619375,0.6327625547310214,0.4055316379083922,0.5786644165863066
xy_lab | Sampled Mean Shift | Post Processed Img04.jpg-meanshift-0.8,xy_lab,Sampled Mean Shift,Mean Shift,1,1,0.8840475733585544,0.6687138007101863,0.6298932250951029,0.3101204401856325,0.7108702814106542
xy_rgb | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,xy_rgb,Half Resize PCA 95 Mean Shift,Mean Shift,1,1,0.869182389937107,0.691,0.6259057971014492,0.3071864426172481,0.3721873995499839
xy_rgb_texture_leung_malik | KMeans | Postprocessed Img03.jpg-segment of 5,xy_rgb_texture_leung_malik,KMeans,KMeans,1,1,0.9846049103110975,0.630812918387694,0.6246518105849582,0.2021171236261056,0.7238942752961445
