feature_set,algorithm,n_results,n_images,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy,weighted_iou
xy_lab,Mean Shift,18,9,0.8246069043323744,0.8205968181582362,0.7680223070943544,0.5135978895235618,0.9205444448639953,0.8490600552566393
xy_hsv,Mean Shift,18,9,0.8334671121884834,0.8245526085437934,0.7665235650688519,0.501204070258811,0.9100778932884486,0.8316422089233382
lab_texture_glcm,Mean Shift,6,3,0.8476729359944953,0.7959227241363545,0.7504885233831535,0.44622575633056627,0.9299959436518342,0.8311191724846024
hsv_texture_glcm,Mean Shift,6,3,0.8220539950741635,0.8162882510970735,0.7464659694351119,0.43362474747155044,0.9175112057236022,0.8302250194851616
LAB_only,Mean Shift,6,1,0.7468835277860162,0.7890694875111071,0.7109527282650592,0.5515780253656052,0.8602364793771043,0.7924966548216846
xy_lab_texture_glcm,Mean Shift,6,3,0.799965877032303,0.7407509566218592,0.6865382582180524,0.4303666777832067,0.9086742986369599,0.7747947624060386
LAB_XY,KMeans,1,1,0.6986875401333319,0.7266608545028772,0.6775043834575626,0.482217233577507,0.923778803661616,0.8646517937620919
xy_hsv_texture_glcm,Mean Shift,6,3,0.8202927253249349,0.7306905967611823,0.6663928161828268,0.42859385578877096,0.901377384415745,0.7552484551647128
xy_rgb_texture_glcm,Mean Shift,6,3,0.8147519803906147,0.7380503818566605,0.6610963567172786,0.33204654985213705,0.8917278255385853,0.7352853614167714
LAB_XY,Mean Shift,4,1,0.6625490719187066,0.7204485366111644,0.6360973971159023,0.5358780528956216,0.810739228219697,0.7247568973466902
RGB_HSV_LAB_XY_Texture,KMeans,1,1,0.6587852414795394,0.699985177756552,0.62085659702604,0.3399847772300495,0.8939591224747475,0.8034414109661446
xy_rgb,Mean Shift,18,9,0.7029797446237006,0.7128569044346291,0.6184647661929638,0.3282892518686126,0.8566401310077194,0.6928138951158926
RGB_XY,KMeans,1,1,0.6796893678633414,0.6593639076676046,0.6047608888446585,0.3268387160697774,0.8573824179292929,0.7870665603149589
xy_texture_glcm,Mean Shift,6,3,0.7483270858101685,0.7149527781264534,0.5974335872183756,0.233301329669683,0.8770418595556047,0.6666091760776277
rgb_texture_glcm,Mean Shift,6,3,0.7710863619609946,0.695056283376949,0.5895779219183903,0.2468855855663716,0.8700946939250946,0.6820335870555544
xy_lab,KMeans,10,9,0.6313861574254157,0.6885637595050516,0.5883973447608837,0.33254594988634223,0.8391050384086732,0.6788804208490345
LAB_only,KMeans,1,1,0.6617448301564908,0.6737979712981085,0.5877362131853038,0.3437822447625191,0.8708274147727273,0.7716789268167668
lab,Mean Shift,18,9,0.621598624130349,0.6887550072695536,0.5832700482234788,0.38773053371683447,0.7870401396835972,0.6585879313961847
LAB_Texture,KMeans,1,1,0.6726744854516604,0.6371557057449809,0.5827999185483308,0.2771654714248031,0.8306995738636364,0.7611998853001458
hsv,KMeans,10,9,0.633126464159751,0.6726493425446145,0.5765027133908414,0.33791100205769703,0.7768077424223414,0.660979599502133
xy_lab_texture,KMeans,3,3,0.6824984138121123,0.6164898575557193,0.5703386503574016,0.22332939859088266,0.8204702197152188,0.634186920934968
lab,KMeans,10,9,0.6156850100373487,0.6378697652152951,0.5556932451387773,0.266843687595146,0.8121107567189643,0.6550264986764619
hsv,Mean Shift,18,9,0.6750505454248136,0.6212327589933567,0.5536615953035469,0.38183871684845694,0.766277402930825,0.6272245190357619
xy_hsv,KMeans,10,9,0.5888135663979173,0.6556945377970262,0.5403813433825603,0.25136410248055413,0.8281836792118084,0.659093730474529
xy_lab_texture_glcm,KMeans,3,3,0.558694689658369,0.6224877024650151,0.5266255775306595,0.24145423811021297,0.8724436753412891,0.6489191532077679
hsv_texture_glcm,KMeans,3,3,0.556019973215289,0.6239769179150042,0.5257724448511425,0.2655614407987908,0.869662837805155,0.6477400643578001
xy_hsv_texture_glcm,KMeans,3,3,0.5584597893043979,0.6276296358646575,0.5239590015112262,0.2459468876349421,0.8621150537438823,0.6501087858450382
xy_hsv_texture,KMeans,3,3,0.7078812640365806,0.5724931798221364,0.5211880584343369,0.2072126675561662,0.7868626707089091,0.5626783563519512
lab_texture,KMeans,3,3,0.6553629624772145,0.5808511954596359,0.5198133310519211,0.19333533548870221,0.7851768763970709,0.5700574294238417
RGB_only,KMeans,1,1,0.6132153347621804,0.619589289900616,0.5169453511262432,0.3078052060198362,0.8170572916666666,0.6971047083645339
Texture_only,KMeans,1,1,0.5704883718193309,0.6457188614661203,0.5106107552472365,0.2364372932533238,0.7710700757575758,0.6793101677022657
xy_rgb_texture,KMeans,3,3,0.6508077940532997,0.5688744204966286,0.5083487666637655,0.20448109602671702,0.7723811359925442,0.5624008470273983
HSV_XY,Mean Shift,4,1,0.5221386478888629,0.6067948427335619,0.5080043443889607,0.45964088512008994,0.7492478495896465,0.6269172188595699
lab_texture_glcm,KMeans,3,3,0.5444083302840642,0.6026088124090934,0.5058531305731266,0.2744692591960215,0.8447625274270276,0.6113975106783858
xy_rgb,KMeans,10,9,0.5951244896106158,0.6055374855147242,0.5037888159289269,0.2027592213703174,0.7959457612638122,0.5847743448304917
RGB_Texture,KMeans,1,1,0.5650238907244466,0.6353556898036199,0.5023989335864819,0.2428487717478261,0.7629616477272727,0.6737843970348133
RGB_XY,Mean Shift,4,1,0.5155785570617655,0.607033778283545,0.5006333165863054,0.4288698209643436,0.7299237492108586,0.6202126568568992
HSV_Texture,KMeans,1,1,0.5539429044917826,0.6261355268078688,0.4956616987121849,0.2530774546699375,0.7609000157828283,0.6707252421825128
xy_rgb_texture,Mean Shift,5,3,0.6683441470241553,0.5801375565807274,0.4852410968798547,0.1336998833068887,0.7485661144215934,0.5499345888951473
hsv_texture,KMeans,3,3,0.6109073461480371,0.5398687176102165,0.47622847644871596,0.18619236599927044,0.7486990925879335,0.5257340767853813
lab_texture,Mean Shift,5,3,0.5758866887055952,0.5583439980520231,0.47325215108300933,0.1337805402457224,0.7470277504345285,0.5418891135495312
xy_texture_leung_malik,Mean Shift,6,3,0.5860713582596069,0.6220168766437144,0.47177396620722556,0.1959095266103171,0.6716270098145053,0.5815771564697525
xy_hsv_texture_leung_malik,Mean Shift,6,3,0.5984573652152015,0.5725708507769887,0.4680409308567673,0.20888538239032406,0.6754559948678028,0.5750310175703849
rgb,KMeans,10,9,0.5356304372254141,0.5932909585144918,0.4652787113246604,0.18207280540565524,0.7242469577725743,0.5413042852513932
