method_key,n_results,n_images,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy,weighted_iou
hsv | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,1,1,0.9912028421586871,0.9909646061814557,0.9823250150012354,0.7869686855415522,0.9870272860927066,0.9823250150012354
hsv | KMeans | Postprocessed Img03.jpg-segment of 5,1,1,0.9893410334563214,0.9881961259079904,0.9777859986611704,0.725985609108069,0.9836659088995536,0.9777859986611704
lab | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,1,1,0.9907746598715618,0.9847154963680388,0.975768749007639,0.7115615637868796,0.9822086644516552,0.9757687490076388
xy_lab | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,1,1,0.9769809300652046,0.991009115510611,0.9683974286484748,0.6511367795461879,0.9764703596479296,0.9683974286484748
xy_hsv | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,1,1,0.9914857518891964,0.9753545109252566,0.9672530668873528,0.5452123751959573,0.9809083733181968,0.9672530668873528
xy_lab | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,1,1,0.9892578762619276,0.9761736750710248,0.9659347231456268,0.4813263687469717,0.9800959636721626,0.9659347231456268
xy_rgb | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-1.5,1,1,0.9890005689360896,0.9748878364905283,0.9644310196030084,0.6195157036681852,0.9738408429997216,0.9644310196030084
hsv | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,1,1,0.9778006744098914,0.97865625,0.957384366115374,0.8473353895256946,0.9887978142076502,0.957384366115374
xy_hsv | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,1,1,0.9594579536980689,0.996465959265062,0.956204192506791,0.4935105159087462,0.9667942565138828,0.956204192506791
lab | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,1,1,0.9834556497532584,0.97153125,0.9559081265565909,0.8449064259784728,0.98847637415622,0.9559081265565909
xy_lab | KMeans | Postprocessed Img03.jpg-segment of 5,1,1,0.9956135490543736,0.9597368608460334,0.9556958098057814,0.481331308344064,0.967629743330678,0.9556958098057814
hsv | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,1,1,0.9767078806044712,0.9775625,0.9552922494350456,0.8269650342967481,0.9882352941176472,0.9552922494350456
lab | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,1,1,0.9839702894870492,0.96871875,0.9536686663590216,0.8129391066349279,0.9878977820636452,0.9536686663590216
xy_hsv | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,1,1,0.9750312109862672,0.97625,0.952439024390244,0.8242224485513514,0.987463837994214,0.952439024390244
lab | KMeans | Postprocessed Img03.jpg-segment of 5,1,1,0.994181528898098,0.9567280301951288,0.951400876377639,0.3476141379578558,0.9644432354712728,0.951400876377639
xy_hsv | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,1,1,0.9845903522205208,0.96440625,0.950066188467814,0.7774175336127422,0.986965605914497,0.950066188467814
xy_lab | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,1,1,0.9763819095477388,0.9715,0.9491939423546654,0.7702267788737969,0.986628093860495,0.9491939423546654
lab_texture_glcm | KMeans | Postprocessed Img07.png-segment of 4,1,1,0.9898618106676998,0.9580625,0.948752862536362,0.7043793238933679,0.9866923818707812,0.948752862536362
xy_hsv | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-1.5,1,1,0.99095494066773,0.95673693206096,0.94845433606608,0.500783675323692,0.9621699341325508,0.94845433606608
LAB_XY | Sampled Mean Shift | Post Processed Img08-epanechnikov-0.5,1,1,0.9736225160498976,0.971485521471431,0.9469637810458952,0.875061640991403,0.9784268465909092,0.9605732852864156
xy_rgb | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,1,1,0.9870022237616684,0.9572930153217444,0.9453751086953228,0.3879215140128269,0.9680197958332964,0.9453751086953228
xy_lab | KMeans | Postprocessed Img07.png-segment of 4,1,1,0.9856751088885304,0.95471875,0.9416533103193194,0.7080260972931771,0.984787849566056,0.9416533103193194
rgb | KMeans | Postprocessed Img03.jpg-segment of 5,1,1,0.9615472728874792,0.971425010682239,0.9350985432733504,0.2969904717393916,0.950945913562736,0.9350985432733504
xy_rgb | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,1,1,0.9489535871495868,0.9844751459905996,0.93496216764594,0.4828247432893817,0.9501751931658474,0.93496216764594
xy_lab | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,1,1,0.9852702087533328,0.94690625,0.933688719070656,0.6970503468426387,0.982706525233044,0.933688719070656
xy_lab_texture_glcm | KMeans | Postprocessed Img07.png-segment of 4,1,1,0.9927036349164234,0.935375,0.928988206083178,0.6277966331602909,0.9816136290581806,0.9289882060831782
xy_lab | Sampled Mean Shift | Post Processed Img09-meanshift-0.8,1,1,0.965894125834738,0.960357628372886,0.9284714942014882,0.7432424442731834,0.9662543402777778,0.9291789206453656
hsv_texture_glcm | KMeans | Postprocessed Img07.png-segment of 4,1,1,0.9893139841688654,0.937375,0.9279792104937508,0.6391812525440485,0.9812921890067502,0.9279792104937508
xy_hsv | KMeans | Postprocessed Img03.jpg-segment of 5,1,1,0.9929839511433036,0.9335742771684944,0.9274565119343456,0.4149583562036131,0.9468721057506104,0.9274565119343456
xy_hsv_texture_glcm | KMeans | Postprocessed Img07.png-segment of 4,1,1,0.9854450090149156,0.93940625,0.9265503637036124,0.613307189825698,0.9808502089360336,0.9265503637036124
LAB_only | Sampled Mean Shift | Post Processed Img08-epanechnikov-0.2,1,1,0.955241860507034,0.9612203586628668,0.922267023503962,0.7373577609679915,0.9761876578282828,0.9547779709848436
lab | KMeans | Postprocessed Img07.png-segment of 4,1,1,0.9860455910005608,0.9340625,0.9218764457329672,0.6235039161120369,0.9796448087431694,0.9218764457329672
xy_rgb_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,1,1,0.9788246025540788,0.9389375,0.9202450229709036,0.5369946605644546,0.9790742526518804,0.9202450229709036
xy_lab_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,1,1,0.9588736453047672,0.95665625,0.9189505598415032,0.6151441329205264,0.9783027965284474,0.9189505598415032
xy_hsv_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,1,1,0.9300029559562518,0.9831875,0.9154445996275604,0.5856432776285263,0.9766473802635808,0.9154445996275604
lab | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-0.8,1,1,0.9517398258397014,0.9574758874346504,0.9141042216954146,0.8552974975636494,0.98796041726633,0.924808336700944
lab_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,1,1,0.9823599365750528,0.9293125,0.9140591381324152,0.5655344102788249,0.9775313404050144,0.9140591381324152
hsv | KMeans | Postprocessed Img07.png-segment of 4,1,1,0.9869475230337827,0.92390625,0.9127535426507364,0.6418214869104483,0.9772902603664416,0.9127535426507364
hsv_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,1,1,0.9762606417812704,0.93171875,0.9110771581359816,0.5625370608670239,0.9766152362584378,0.9110771581359816
lab_texture | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,1,1,0.95276455286149,0.952887323511545,0.909902150348626,0.278641089122885,0.9454479339429362,0.909902150348626
LAB_only | Sampled Mean Shift | Post Processed Img08-gaussian-0.2,1,1,0.9610668289065868,0.939339193190754,0.9067346211302224,0.7289751871858223,0.9702690972222222,0.9427335979661724
xy_rgb_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,1,1,0.972316642698392,0.92965625,0.905683928517064,0.5807092722515869,0.9751044680167148,0.905683928517064
xy_lab_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,1,1,0.9924123851650222,0.91146875,0.9051609099090712,0.5174205635122144,0.9754419800707168,0.9051609099090712
lab | KMeans | Postprocessed Img10-segment of 5,1,1,0.9921271454282812,0.9081922550637844,0.901693923988169,0.4422338541173462,0.9427535010775958,0.901693923988169
xy_rgb_texture_leung_malik | KMeans | Postprocessed Img03.jpg-segment of 5,1,1,0.9888077012294132,0.9107142857142856,0.9014221016088956,0.3022449844044823,0.9275393294084884,0.9014221016088956
xy_hsv_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,1,1,0.9822664069322228,0.9139375,0.8991023118544024,0.4553159371716607,0.9736258437801352,0.8991023118544024
HSV_XY | Sampled Mean Shift | Post Processed Img08-epanechnikov-0.5,1,1,0.9388284804667596,0.9484358671334414,0.8978104792132878,0.7444869675908908,0.969854797979798,0.9427531775227204
xy_lab | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-0.8,1,1,0.9360418564568092,0.9540849506700676,0.8957679779020797,0.7683015942362323,0.985687486972834,0.9077357914613708
xy_hsv | Sampled Mean Shift | Post Processed Img09-meanshift-0.8,1,1,0.9455124348779058,0.9403018828656692,0.8924133467857246,0.6630947533152423,0.9502150410353536,0.8954048225275034
hsv | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,1,1,0.9916139647630784,0.8986107957857533,0.8918332983170888,0.395648990303069,0.9369868116469032,0.8918332983170888
RGB_XY | Sampled Mean Shift | Post Processed Img08-epanechnikov-0.5,1,1,0.9240536365576348,0.9618978950752562,0.8917913816084615,0.7378977421314978,0.9675268308080808,0.9401461826434664
xy_rgb | KMeans | Postprocessed Img03.jpg-segment of 5,1,1,0.9794533694170936,0.9085333285856716,0.891541532360212,0.3916994086936431,0.9195860130439568,0.891541532360212
xy_lab | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,1,1,0.8960929787545868,0.9942106264304692,0.8914414141803156,0.5038338324181736,0.9299997339269718,0.8914414141803157
xy_hsv | Half Resize PCA 95 Mean Shift | Post Processed Img01-meanshift-0.8,1,1,0.9413212464338232,0.9414994817542932,0.89015607942831,0.7011488609137884,0.9709781672398496,0.9149082952364244
lab_texture | KMeans | Postprocessed Img10-segment of 5,1,1,0.9737636071191073,0.9119843407722846,0.8901126213127075,0.2890056275373006,0.9349061205665582,0.8901126213127075
xy_lab | KMeans | Postprocessed Img10-segment of 5,1,1,0.8905644354960212,0.9974320584643892,0.8885272156811299,0.4638256076744829,0.9276511959982616,0.8885272156811298
lab | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,1,1,0.9948709690682088,0.890867086782311,0.8867941815116709,0.4355395151843527,0.9342480332768668,0.8867941815116709
rgb | Quarter Resize Mean Shift | Post Processed Img10-meanshift-0.8,1,1,0.9836765495036224,0.8998318719281344,0.8865931700769931,0.3486357736625489,0.933453361832711,0.8865931700769931
hsv_texture | KMeans | Postprocessed Img10-segment of 5,1,1,0.9726772903391184,0.9080603297519192,0.8854740079460055,0.2741388726087841,0.9320963893890076,0.8854740079460056
xy_hsv_texture | KMeans | Postprocessed Img10-segment of 5,1,1,0.9798790000634732,0.8999024366298298,0.8835750756856897,0.2586420856813668,0.9314436235598798,0.8835750756856896
xy_lab_texture | KMeans | Postprocessed Img10-segment of 5,1,1,0.9783759826448016,0.9007553491111916,0.8831727486305428,0.2791172260418729,0.9311101453645644,0.8831727486305428
xy_hsv | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-0.8,1,1,0.9250042012133428,0.9514801840049026,0.8817523816388007,0.7052916116688621,0.9833450784607596,0.892107301902376
lab | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,1,1,0.8827853932066094,0.998383147922023,0.8815251252878233,0.4585790124871023,0.922421974084487,0.8815251252878232
rgb | KMeans | Postprocessed Img10-segment of 5,1,1,0.9840714433160636,0.8921832718704554,0.8794824723498332,0.2873675216743455,0.9293150393344628,0.8794824723498332
xy_hsv | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,1,1,0.8955966726051033,0.9793828349829112,0.879024108163181,0.3464881243989622,0.9220707576872932,0.8790241081631811
rgb_texture | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,1,1,0.944407269361617,0.92663418645035,0.8787039488422296,0.1982449268518136,0.9260458887282595,0.8787039488422295
hsv_texture | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,1,1,0.895453738384923,0.974786925281185,0.875183521238882,0.2095503615022468,0.9196228858280636,0.875183521238882
texture | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,1,1,0.924881836596894,0.9413453927385854,0.8744862652552855,0.200565016264749,0.9218845065675692,0.8744862652552856
rgb_texture | KMeans | Postprocessed Img10-segment of 5,1,1,0.9725360635024354,0.8950027919077628,0.8729397330779819,0.2571296491740362,0.9246818210038048,0.872939733077982
texture | KMeans | Postprocessed Img10-segment of 5,1,1,0.9648155510795527,0.9008688662400058,0.8722144660626764,0.2604282436702704,0.923692029338986,0.8722144660626764
LAB_only | Sampled Mean Shift | Post Processed Img08-epanechnikov-0.5,1,1,0.9155220520066274,0.9479307169492216,0.871152628255011,0.5880599922719706,0.9569227430555556,0.9283789315709722
hsv | Quarter Resize Mean Shift | Post Processed Img10-meanshift-1.5,1,1,0.8864815836992369,0.9805333464235968,0.8711498413598352,0.4596001058273145,0.916149745900258,0.8711498413598352
lab_texture_glcm | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-0.8,1,1,0.9743738880525524,0.88996875,0.869614339369141,0.472798722829424,0.965686274509804,0.869614339369141
hsv | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-0.8,1,1,0.9152255153298736,0.9454773029394876,0.8678041044807494,0.6483589190400292,0.9808835644311222,0.8799365679797704
